0.302867,0.194204,0.71217,1,0
0.863958,0.559599,0.398102,0,1
0.601225,0.240805,0.834586,0,1
0.204143,0.243235,0.168933,1,0
0.859649,0.532167,0.705348,1,0
0.240425,0.314607,0.559275,0,1
0.361926,0.482729,0.0459164,0,1
0.397561,0.784163,0.266427,1,0
0.942517,0.0492957,0.603579,1,0
0.981024,0.848562,0.671567,1,0
0.24242,0.998049,0.397922,0,1
0.487674,0.157153,0.984583,1,0
0.382494,0.225862,0.800691,0,1
0.765708,0.396459,0.0138423,1,0
0.681131,0.987805,0.292824,0,1
0.248277,0.8104,0.339993,1,0
0.661667,0.54007,0.79379,1,0
0.430991,0.0481288,0.778749,0,1
0.0921854,0.467362,0.152475,1,0
0.669026,0.964789,0.665273,0,1
0.169497,0.0957125,0.812399,0,1
0.705906,0.57602,0.715562,1,0
0.7184,0.988142,0.290918,1,0
0.315784,0.400417,0.466146,0,1
0.040105,0.810375,0.636517,1,0
0.203985,0.680872,0.13412,1,0
0.151846,0.457846,0.334259,0,1
0.0150632,0.150412,0.528233,0,1
0.186976,0.0549285,0.39664,1,0
0.702421,0.430547,0.258563,1,0
0.423866,0.108425,0.244493,0,1
0.6857,0.331132,0.653751,0,1
0.663417,0.122208,0.216395,0,1
0.0869447,0.483615,0.511402,1,0
0.177782,0.529509,0.708551,1,0
0.29104,0.823483,0.448268,0,1
0.606933,0.254704,0.422344,1,0
0.560161,0.185437,0.0938518,0,1
0.947559,0.125035,0.527439,0,1
0.627519,0.63986,0.940329,0,1
0.190268,0.300314,0.71708,1,0
0.563922,0.1479,0.678787,1,0
0.66202,0.804166,0.905459,1,0
0.877099,0.467463,0.0423738,0,1
0.879416,0.0596158,0.132303,0,1
0.46081,0.978319,0.187747,0,1
0.822831,0.815422,0.683004,1,0
0.490377,0.190473,0.689462,0,1
0.0351941,0.925896,0.263013,0,1
0.110011,0.734322,0.197401,1,0
0.331576,0.526499,0.694268,1,0
0.965202,0.787024,0.729044,1,0
0.809022,0.417453,0.882245,1,0
0.746937,0.326187,0.678521,1,0
0.455633,0.277993,0.755606,0,1
0.0396293,0.110047,0.336245,1,0
0.355478,0.476703,0.76411,1,0
0.356247,0.0293339,0.528617,1,0
0.995176,0.176903,0.398844,0,1
0.641051,0.0134743,0.756508,0,1
0.0435587,0.862512,0.666746,1,0
0.629164,0.360051,0.115939,0,1
0.172527,0.107148,0.134485,0,1
0.0520215,0.261221,0.0870526,0,1
0.0622985,0.0306579,0.708177,0,1
0.643521,0.306304,0.169802,0,1
